"","bx1....rep.0..times...100.","bx2....rep.0..times...100.","bx3....rep.0..times...100.","bz1....rep.0..times...100.","mod1_est.bx1....rep.0..times...100.","mod1_est.bx2....rep.0..times...100.","mod1_est.bx3....rep.0..times...100.","mod1_est.bz1....rep.0..times...100.","mod2_est.bx1....rep.0..times...100.","mod2_est.bx2....rep.0..times...100.","mod2_est.bx3....rep.0..times...100.","mod2_est.bz1....rep.0..times...100.","mod3_est.bx1....rep.0..times...100.","mod3_est.bx3....rep.0..times...100.","mod3_est.bx3....rep.0..times...100..1","mod3_est.bz1....rep.0..times...100.","mod4_est.bx1....rep.0..times...100.","mod4_est.bx2....rep.0..times...100.","mod4_est.bx3....rep.0..times...100.","mod4_est.bz1....rep.0..times...100.","mod5_est.bx1....rep.0..times...100.","mod5_est.bx2....rep.0..times...100.","mod5_est.bx3....rep.0..times...100.","mod5_est.bz1....rep.0..times...100.","bx1","bx2","bx3","bz1","mod1_est.bx1","mod1_est.bx2","mod1_est.bx3","mod1_est.bz1","mod2_est.bx1","mod2_est.bx2","mod2_est.bx3","mod2_est.bz1","mod3_est.bx1","mod3_est.bx2","mod3_est.bx3","mod3_est.bz1","mod4_est.bx1","mod4_est.bx2","mod4_est.bx3","mod4_est.bz1","mod5_est.bx1","mod5_est.bx2","mod5_est.bx3","mod5_est.bz1"
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0576333801814167,0.0374838820315203,0.068168489250188,0.762480965847292,0.775064192494776,0.0373371939866496,0.0206127826053603,0.0453290921649672,0.0533981869124089,0.0391589564332753,0.0686134375783529,0.780458577135821,0.0532154009049855,0.0394659191953918,0.0687041251190452,0.788174903297876,0.0424842481875786,0.0527529011317095,0.0525159588732884,0.88056063704581,0.0513269641302986,0.0563477849069958,0.0504509909171144,0.819729041923105
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375387481321487,0.0750161266409168,0.049980636766089,0.771626010871006,0.787593854383346,0.0278568890781971,0.0567390964895245,0.0201310941651936,0.0353352486491744,0.0713646198378304,0.000249528596770861,0.845307179675841,0.0356950947036247,0.0700623354983284,0.00116300127369082,0.85079390881683,0.0630313544983891,0.0997345366858707,0.0140816516364633,0.665014272790147,0.0459325933879593,0.0774698980302467,0.020387374716441,0.79316214211
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374449130734755,0.18764360488846,0.149697492044387,0.765279510524779,0.815147072086941,0.282937598279488,0.132636601300161,0.107649323877686,0.450157115670842,0.29683144202406,0.0997324138119602,1.24434612890244,0.45328738005478,0.297477630924844,0.0974063232865843,1.25487204155881,0.558739642260125,0.267620281506036,0.144302723020419,0.890396895647195,0.507481216523691,0.188474197072408,0.120938670800184,0.834381678211123
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500211940803114,0.0536802831006113,0.0500401222851378,0.769772015580845,0.780268865729996,0.0403994587713043,0.0342493226165604,0.0266503963738654,0.0714865222277892,0.0306646950131216,0.0638947381360795,0.586425240174196,0.0717298703402702,0.0302262086504277,0.0645788063558113,0.589131249780232,0.0761945396974061,0.035742435261255,0.0411062272894273,0.928517386125163,0.0576450502843468,0.0440959054266492,0.036298763951508,0.812653487639133
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057741846472325,0.107157715323584,0.249947978625689,0.73785046728972,0.73088404191893,0.0295740071695822,0.0513815302034571,0.129303075357502,0.0407951206134252,0.0661552236869534,0.297118583356978,0.742118235406353,0.0393030564267255,0.0657614562087525,0.288270674120501,0.757824397968771,0.0265785049573534,0.121886284616382,0.279502677439127,0.834055691803776,0.0148767238562928,0.101993461131857,0.223838220116475,0.74561776130892
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150368239159331,0.187474105193369,0.249321979001346,0.744620042587171,0.760515538373708,0.0962961361293287,0.094148450117924,0.170207870060377,0.150276913859645,0.121796551284094,0.236544968577984,0.747927872044303,0.147854690541706,0.11805741706956,0.238684820244407,0.74784401044591,0.154326031388856,0.17804842703076,0.239146836842255,0.733133669276659,0.163322641187524,0.202998427029536,0.27288352676792,0.76831839729704
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375653007749758,0.0374808102628064,0.0625297978908731,0.760327313769752,0.812869398430971,0.265048141844405,0.0284192452135312,0.039062882610781,-0.0126920920218792,0.0555676357554275,0.0392544957560845,0.972374578845719,-0.0162370706910569,0.0556034774109984,0.0396787363049599,0.978016625772355,0.30640724761095,0.0462746705580188,0.0319728198329925,0.828349365886241,0.35415343390593,0.0418201089033511,0.0497499328561914,0.899497077572194
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375066390846113,0.374700066519859,0.0393938163751789,0.748031263825395,0.687155431548642,0.22325186683226,0.213685827722727,0.0258365104689737,0.307363950022617,0.333726798448703,0.0469509322050299,0.484742963339466,0.307641311227106,0.339392634853263,0.0488457490491042,0.474747530726742,0.317866751529827,0.384026515632737,0.030030667230284,0.735653081724982,0.459663672305527,0.315521613665759,0.0345757375575149,0.680038274254129
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442254314115654,0.187400821062274,0.0395615803718331,0.725461746473124,0.692897214723981,0.0295002145330099,0.0531657555242764,0.0269625293060814,0.0486359596048164,0.289307908602199,0.0547361162183304,0.295402360409393,0.0484470220043111,0.290621751866096,0.0552779260503261,0.288967500357442,0.0370490881564131,0.348703001589209,0.0419639430459043,0.702638243416566,0.0417346025536813,0.259788463755145,0.0343502614428147,0.733361094114959
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375247510831205,0.149803273658475,0.0534623044769408,0.756248692058177,0.739453389018461,0.022145779802081,0.106512981135737,0.0386025722028334,0.0401028962999956,0.172285729891342,0.0466623461653551,0.747211918458661,0.0400444019344899,0.172898456032977,0.0464656703424302,0.743360431916261,0.0346548005339205,0.219301512055319,0.0369527058771891,0.872406918720223,0.0409022023755144,0.204220925845611,0.0432388803389963,0.776660234412843
